Date : 2023-05-07 14:18:59
Directory : /home/mahadeva/code/FreeNetworkMonitor
Total : 81 files,  13435 codes, 314 comments, 648 blanks, all 14397 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /home/mahadeva/code/FreeNetworkMonitor/src/components/dashboard/Dashboard.js     | JavaScript |        290 |         10 |          7 |        307 |
| /home/mahadeva/code/FreeNetworkMonitor/src/components/dashboard/DataSetsList.js  | JavaScript |         65 |         12 |          2 |         79 |
| /home/mahadeva/code/FreeNetworkMonitor/src/components/dashboard/HelpDialog.js    | JavaScript |        109 |          0 |         13 |        122 |
| /home/mahadeva/code/FreeNetworkMonitor/src/components/dashboard/HostDetail.js    | JavaScript |         39 |          0 |          8 |         47 |
| /home/mahadeva/code/FreeNetworkMonitor/src/components/dashboard/HostList.js      | JavaScript |         60 |          0 |         12 |         72 |
| /home/mahadeva/code/FreeNetworkMonitor/src/components/dashboard/HostListEdit.js  | JavaScript |        323 |          5 |          6 |        334 |
| /home/mahadeva/code/FreeNetworkMonitor/src/components/dashboard/HostListPag.js   | JavaScript |        170 |          1 |         23 |        194 |
| /home/mahadeva/code/FreeNetworkMonitor/src/components/dashboard/MainListItems.js | JavaScript |         57 |          0 |          6 |         63 |
| /home/mahadeva/code/FreeNetworkMonitor/src/components/dashboard/Message.js       | JavaScript |         36 |          0 |          2 |         38 |
| /home/mahadeva/code/FreeNetworkMonitor/src/components/dashboard/MiniProfile.js   | JavaScript |         35 |          0 |          1 |         36 |
| /home/mahadeva/code/FreeNetworkMonitor/src/components/dashboard/Profile.js       | JavaScript |        169 |          0 |         26 |        195 |
| /home/mahadeva/code/FreeNetworkMonitor/src/components/dashboard/ProfileDialog.js | JavaScript |         61 |          0 |         21 |         82 |
| /home/mahadeva/code/FreeNetworkMonitor/src/components/dashboard/ServiceAPI.js    | JavaScript |        655 |          4 |         93 |        752 |
| /home/mahadeva/code/FreeNetworkMonitor/src/components/dashboard/Title.js         | JavaScript |         14 |          0 |          4 |         18 |
| /home/mahadeva/code/FreeNetworkMonitor/src/components/dashboard/styleObject.js   | JavaScript |        108 |          0 |          3 |        111 |
| /home/mahadeva/code/FreeNetworkMonitor/src/components/dashboard/useClasses.js    | JavaScript |         17 |          0 |          4 |         21 |
| /home/mahadeva/code/FreeNetworkMonitor/src/components/login-button.js            | JavaScript |         26 |          0 |          5 |         31 |
